target_ip,target_geo_country,Time Run,Processed?
156.59.151.17,SG,2023-02-28 21:11:05.885726,Not Processed due to DUPLICATE in past 7 days
13.33.33.91,SG,2023-02-28 21:11:05.887814,Not Processed due to DUPLICATE in past 7 days
72.247.81.88,SG,2023-02-28 21:11:05.890007,Not Processed due to DUPLICATE in past 7 days
8.218.46.10,SG,2023-02-28 21:11:05.892242,Not Processed due to DUPLICATE in past 7 days
159.138.85.193,SG,2023-02-28 21:11:05.894309,Not Processed due to DUPLICATE in past 7 days
51.79.223.21,SG,2023-02-28 21:11:05.896459,Not Processed due to DUPLICATE in past 7 days
17.248.164.11,SG,2023-02-28 21:11:05.898630,Not Processed due to DUPLICATE in past 7 days
151.192.83.68,SG,2023-02-28 21:11:05.900686,Not Processed due to DUPLICATE in past 7 days
202.156.3.37,SG,2023-02-28 21:11:05.902826,Not Processed due to DUPLICATE in past 7 days
13.33.88.19,SG,2023-02-28 21:11:05.903994,Not Processed due to DUPLICATE in past 7 days
161.117.125.94,SG,2023-02-28 21:11:05.906963,Not Processed due to DUPLICATE in past 7 days
69.173.158.68,SG,2023-02-28 21:11:05.909067,Not Processed due to DUPLICATE in past 7 days
157.240.13.175,SG,2023-02-28 21:11:05.911463,Not Processed due to DUPLICATE in past 7 days
54.192.150.11,SG,2023-02-28 21:11:05.912967,Not Processed due to DUPLICATE in past 7 days
91.108.56.122,SG,2023-02-28 21:11:05.915797,Not Processed due to DUPLICATE in past 7 days
23.200.24.27,SG,2023-02-28 21:11:05.917965,Not Processed due to DUPLICATE in past 7 days
54.251.222.189,SG,2023-02-28 21:11:05.920117,Not Processed due to DUPLICATE in past 7 days
52.98.70.130,SG,2023-02-28 21:11:05.922231,Not Processed due to DUPLICATE in past 7 days
203.116.175.152,SG,2023-02-28 21:11:05.924326,Not Processed due to DUPLICATE in past 7 days
43.156.222.154,SG,2023-02-28 21:11:05.926899,Not Processed due to DUPLICATE in past 7 days
